genbank_accession	genbank_accession_rev	strain	date	region	country	division	location	length	host	lineage	release_date	update_date	sra_accessions	authors	institution
PV685588	PV685588.1	PV685588	2025-01-31	Europe	France	Réunion		11237	Homo sapiens	East-Central-South-African	2025-06-10	2025-06-10		Frumence et al.	"CHU de la Reunion, Laboratoire de virologie, CNR arbovirus Associe"
PV685589	PV685589.1	PV685589	2025-03-06	Europe	France	Réunion		11237	Homo sapiens	East-Central-South-African	2025-06-10	2025-06-10		Frumence et al.	"CHU de la Reunion, Laboratoire de virologie, CNR arbovirus Associe"
PV685590	PV685590.1	PV685590	2025-03-22	Europe	France	Réunion		11237	Homo sapiens	East-Central-South-African	2025-06-10	2025-06-10		Frumence et al.	"CHU de la Reunion, Laboratoire de virologie, CNR arbovirus Associe"
PV685591	PV685591.1	PV685591	2025-02-25	Europe	France	Réunion		11237	Homo sapiens	East-Central-South-African	2025-06-10	2025-06-10		Frumence et al.	"CHU de la Reunion, Laboratoire de virologie, CNR arbovirus Associe"
PV685592	PV685592.1	PV685592	2025-03-14	Europe	France	Réunion		11237	Homo sapiens	East-Central-South-African	2025-06-10	2025-06-10		Frumence et al.	"CHU de la Reunion, Laboratoire de virologie, CNR arbovirus Associe"
PV685593	PV685593.1	PV685593	2025-03-01	Europe	France	Réunion		11237	Homo sapiens	East-Central-South-African	2025-06-10	2025-06-10		Frumence et al.	"CHU de la Reunion, Laboratoire de virologie, CNR arbovirus Associe"
PV685594	PV685594.1	PV685594	2024-11-18	Europe	France	Réunion		11237	Homo sapiens	East-Central-South-African	2025-06-10	2025-06-10		Frumence et al.	"CHU de la Reunion, Laboratoire de virologie, CNR arbovirus Associe"
PV685595	PV685595.1	PV685595	2024-11-25	Europe	France	Réunion		11237	Homo sapiens	East-Central-South-African	2025-06-10	2025-06-10		Frumence et al.	"CHU de la Reunion, Laboratoire de virologie, CNR arbovirus Associe"
PV685596	PV685596.1	PV685596	2024-11-23	Europe	France	Réunion		11237	Homo sapiens	East-Central-South-African	2025-06-10	2025-06-10		Frumence et al.	"CHU de la Reunion, Laboratoire de virologie, CNR arbovirus Associe"
PV685597	PV685597.1	PV685597	2024-11-27	Europe	France	Réunion		11237	Homo sapiens	East-Central-South-African	2025-06-10	2025-06-10		Frumence et al.	"CHU de la Reunion, Laboratoire de virologie, CNR arbovirus Associe"
PV685598	PV685598.1	PV685598	2024-12-03	Europe	France	Réunion		11237	Homo sapiens	East-Central-South-African	2025-06-10	2025-06-10		Frumence et al.	"CHU de la Reunion, Laboratoire de virologie, CNR arbovirus Associe"
MG664850	MG664850.1	MG664850	2010-XX-XX	Asia	China			11844	Homo sapiens	East-Central-South-African	2018-04-16	2018-04-16		Zhang et al.	"Shenzhen Center for Disease Control and Prevention, Institute of Pathogenic Biology"
MG664851	MG664851.1	MG664851	2012-XX-XX	Asia	China			12000	Homo sapiens	Asian and Caribbean	2018-04-16	2018-04-16		Zhang et al.	"Shenzhen Center for Disease Control and Prevention, Institute of Pathogenic Biology"
PV685599	PV685599.1	PV685599	2024-12-04	Europe	France	Réunion		11237	Homo sapiens	East-Central-South-African	2025-06-10	2025-06-10		Frumence et al.	"CHU de la Reunion, Laboratoire de virologie, CNR arbovirus Associe"
PV685600	PV685600.1	PV685600	2024-12-06	Europe	France	Réunion		11237	Homo sapiens	East-Central-South-African	2025-06-10	2025-06-10		Frumence et al.	"CHU de la Reunion, Laboratoire de virologie, CNR arbovirus Associe"
PV685601	PV685601.1	PV685601	2024-12-06	Europe	France	Réunion		11237	Homo sapiens	East-Central-South-African	2025-06-10	2025-06-10		Frumence et al.	"CHU de la Reunion, Laboratoire de virologie, CNR arbovirus Associe"
PV685602	PV685602.1	PV685602	2024-12-07	Europe	France	Réunion		11237	Homo sapiens	East-Central-South-African	2025-06-10	2025-06-10		Frumence et al.	"CHU de la Reunion, Laboratoire de virologie, CNR arbovirus Associe"
PV685603	PV685603.1	PV685603	2024-12-14	Europe	France	Réunion		11237	Homo sapiens	East-Central-South-African	2025-06-10	2025-06-10		Frumence et al.	"CHU de la Reunion, Laboratoire de virologie, CNR arbovirus Associe"
PV685604	PV685604.1	PV685604	2024-12-14	Europe	France	Réunion		11237	Homo sapiens	East-Central-South-African	2025-06-10	2025-06-10		Frumence et al.	"CHU de la Reunion, Laboratoire de virologie, CNR arbovirus Associe"
PV685605	PV685605.1	PV685605	2025-01-02	Europe	France	Réunion		11237	Homo sapiens	East-Central-South-African	2025-06-10	2025-06-10		Frumence et al.	"CHU de la Reunion, Laboratoire de virologie, CNR arbovirus Associe"
PV685606	PV685606.1	PV685606	2024-12-23	Europe	France	Réunion		11237	Homo sapiens	East-Central-South-African	2025-06-10	2025-06-10		Frumence et al.	"CHU de la Reunion, Laboratoire de virologie, CNR arbovirus Associe"
PV685607	PV685607.1	PV685607	2025-01-02	Europe	France	Réunion		11237	Homo sapiens	East-Central-South-African	2025-06-10	2025-06-10		Frumence et al.	"CHU de la Reunion, Laboratoire de virologie, CNR arbovirus Associe"
PV685608	PV685608.1	PV685608	2025-01-04	Europe	France	Réunion		11237	Homo sapiens	East-Central-South-African	2025-06-10	2025-06-10		Frumence et al.	"CHU de la Reunion, Laboratoire de virologie, CNR arbovirus Associe"
PV685609	PV685609.1	PV685609	2025-01-07	Europe	France	Réunion		11237	Homo sapiens	East-Central-South-African	2025-06-10	2025-06-10		Frumence et al.	"CHU de la Reunion, Laboratoire de virologie, CNR arbovirus Associe"
PV685610	PV685610.1	PV685610	2024-12-26	Europe	France	Réunion		11237	Homo sapiens	East-Central-South-African	2025-06-10	2025-06-10		Frumence et al.	"CHU de la Reunion, Laboratoire de virologie, CNR arbovirus Associe"
PV685611	PV685611.1	PV685611	2025-01-13	Europe	France	Réunion		11237	Homo sapiens	East-Central-South-African	2025-06-10	2025-06-10		Frumence et al.	"CHU de la Reunion, Laboratoire de virologie, CNR arbovirus Associe"
PV685612	PV685612.1	PV685612	2024-12-18	Europe	France	Réunion		11237	Homo sapiens	East-Central-South-African	2025-06-10	2025-06-10		Frumence et al.	"CHU de la Reunion, Laboratoire de virologie, CNR arbovirus Associe"
PV685613	PV685613.1	PV685613	2025-01-28	Europe	France	Réunion		11237	Homo sapiens	East-Central-South-African	2025-06-10	2025-06-10		Frumence et al.	"CHU de la Reunion, Laboratoire de virologie, CNR arbovirus Associe"
PV685614	PV685614.1	PV685614	2025-01-13	Europe	France	Réunion		11237	Homo sapiens	East-Central-South-African	2025-06-10	2025-06-10		Frumence et al.	"CHU de la Reunion, Laboratoire de virologie, CNR arbovirus Associe"
PV685615	PV685615.1	PV685615	2025-01-06	Europe	France	Réunion		11237	Homo sapiens	East-Central-South-African	2025-06-10	2025-06-10		Frumence et al.	"CHU de la Reunion, Laboratoire de virologie, CNR arbovirus Associe"
PV685616	PV685616.1	PV685616	2025-01-06	Europe	France	Réunion		11237	Homo sapiens	East-Central-South-African	2025-06-10	2025-06-10		Frumence et al.	"CHU de la Reunion, Laboratoire de virologie, CNR arbovirus Associe"
PV685617	PV685617.1	PV685617	2024-12-18	Europe	France	Réunion		11237	Homo sapiens	East-Central-South-African	2025-06-10	2025-06-10		Frumence et al.	"CHU de la Reunion, Laboratoire de virologie, CNR arbovirus Associe"
PV685618	PV685618.1	PV685618	2024-12-27	Europe	France	Réunion		11237	Homo sapiens	East-Central-South-African	2025-06-10	2025-06-10		Frumence et al.	"CHU de la Reunion, Laboratoire de virologie, CNR arbovirus Associe"
PV685619	PV685619.1	PV685619	2024-10-24	Europe	France	Réunion		11237	Homo sapiens	East-Central-South-African	2025-06-10	2025-06-10		Frumence et al.	"CHU de la Reunion, Laboratoire de virologie, CNR arbovirus Associe"
PV685620	PV685620.1	PV685620	2024-09-26	Europe	France	Réunion		11237	Homo sapiens	East-Central-South-African	2025-06-10	2025-06-10		Frumence et al.	"CHU de la Reunion, Laboratoire de virologie, CNR arbovirus Associe"
PV685621	PV685621.1	PV685621	2024-12-12	Europe	France	Réunion		11237	Homo sapiens	East-Central-South-African	2025-06-10	2025-06-10		Frumence et al.	"CHU de la Reunion, Laboratoire de virologie, CNR arbovirus Associe"
PV685622	PV685622.1	PV685622	2024-11-25	Europe	France	Réunion		11237	Homo sapiens	East-Central-South-African	2025-06-10	2025-06-10		Frumence et al.	"CHU de la Reunion, Laboratoire de virologie, CNR arbovirus Associe"
PV685623	PV685623.1	PV685623	2024-12-04	Europe	France	Réunion		11237	Homo sapiens	East-Central-South-African	2025-06-10	2025-06-10		Frumence et al.	"CHU de la Reunion, Laboratoire de virologie, CNR arbovirus Associe"
MG902894	MG902894.1	MG902894	2016-05-07	Africa	Kenya			1159	Homo sapiens	East-Central-South-African	2018-10-03	2018-10-03		Konongoi et al.	"Kenya Medical Research Institute, Center for Virus Research"
MG902895	MG902895.1	MG902895	2016-05-07	Africa	Kenya			1159	Homo sapiens	East-Central-South-African	2018-10-03	2018-10-03		Konongoi et al.	"Kenya Medical Research Institute, Center for Virus Research"
MG902896	MG902896.1	MG902896	2016-05-07	Africa	Kenya			1161	Homo sapiens	East-Central-South-African	2018-10-03	2018-10-03		Konongoi et al.	"Kenya Medical Research Institute, Center for Virus Research"
MG902897	MG902897.1	MG902897	2016-05-07	Africa	Kenya			1156	Homo sapiens	East-Central-South-African	2018-10-03	2018-10-03		Konongoi et al.	"Kenya Medical Research Institute, Center for Virus Research"
MG902898	MG902898.1	MG902898	2016-05-07	Africa	Kenya			1156	Homo sapiens	East-Central-South-African	2018-10-03	2018-10-03		Konongoi et al.	"Kenya Medical Research Institute, Center for Virus Research"
MG902899	MG902899.1	MG902899	2016-05-08	Africa	Kenya			1159	Homo sapiens	East-Central-South-African	2018-10-03	2018-10-03		Konongoi et al.	"Kenya Medical Research Institute, Center for Virus Research"
MG902900	MG902900.1	MG902900	2016-05-17	Africa	Kenya			1161	Homo sapiens	East-Central-South-African	2018-10-03	2018-10-03		Konongoi et al.	"Kenya Medical Research Institute, Center for Virus Research"
MG902901	MG902901.1	MG902901	2016-05-13	Africa	Kenya			1151	Homo sapiens	East-Central-South-African	2018-10-03	2018-10-03		Konongoi et al.	"Kenya Medical Research Institute, Center for Virus Research"
MG902902	MG902902.1	MG902902	2016-05-17	Africa	Kenya			1153	Homo sapiens	East-Central-South-African	2018-10-03	2018-10-03		Konongoi et al.	"Kenya Medical Research Institute, Center for Virus Research"
MG902903	MG902903.1	MG902903	2016-05-19	Africa	Kenya			1158	Homo sapiens	East-Central-South-African	2018-10-03	2018-10-03		Konongoi et al.	"Kenya Medical Research Institute, Center for Virus Research"
MG902904	MG902904.1	MG902904	2016-05-24	Africa	Kenya			1153	Homo sapiens	East-Central-South-African	2018-10-03	2018-10-03		Konongoi et al.	"Kenya Medical Research Institute, Center for Virus Research"
MG902905	MG902905.1	MG902905	2016-05-24	Africa	Kenya			1156	Homo sapiens	East-Central-South-African	2018-10-03	2018-10-03		Konongoi et al.	"Kenya Medical Research Institute, Center for Virus Research"
MG902906	MG902906.1	MG902906	2016-05-31	Africa	Kenya			1156	Homo sapiens	East-Central-South-African	2018-10-03	2018-10-03		Konongoi et al.	"Kenya Medical Research Institute, Center for Virus Research"
MG902907	MG902907.1	MG902907	2016-06-02	Africa	Kenya			1161	Homo sapiens	East-Central-South-African	2018-10-03	2018-10-03		Konongoi et al.	"Kenya Medical Research Institute, Center for Virus Research"
MG902908	MG902908.1	MG902908	2016-06-02	Africa	Kenya			1159	Homo sapiens	East-Central-South-African	2018-10-03	2018-10-03		Konongoi et al.	"Kenya Medical Research Institute, Center for Virus Research"
MG902909	MG902909.1	MG902909	2016-06-02	Africa	Kenya			1159	Homo sapiens	East-Central-South-African	2018-10-03	2018-10-03		Konongoi et al.	"Kenya Medical Research Institute, Center for Virus Research"
MG902910	MG902910.1	MG902910	2016-06-02	Africa	Kenya			1159	Homo sapiens	East-Central-South-African	2018-10-03	2018-10-03		Konongoi et al.	"Kenya Medical Research Institute, Center for Virus Research"
MG902911	MG902911.1	MG902911	2016-06-07	Africa	Kenya			1157	Homo sapiens	East-Central-South-African	2018-10-03	2018-10-03		Konongoi et al.	"Kenya Medical Research Institute, Center for Virus Research"
MG912993	MG912993.1	MG912993	2017-08-30	Asia	China			11765	Homo sapiens	East-Central-South-African	2018-11-18	2018-11-18		Pan et al.	"Zhejiang Provincial Center for Disease Control and Prevention, Microbiology"
MG921596	MG921596.1	MG921596	2015-XX-XX	North America	Mexico			12160	Homo sapiens	Asian and Caribbean	2018-05-28	2018-05-28		Laredo-Tiscareno et al.	"Centro de Biotecnologia Genomica del Instituto Politecnico Nacional, Laboratorio de Biomedicina"
MG925665	MG925665.1	MG925665	2017-12-15	Asia	China			11733	Homo sapiens	East-Central-South-African	2018-03-20	2018-03-20		Xingle et al.	"Infectious Disease Prevention and Control Institute, Henan Provincial Center for Disease Control and Prevention"
PV685624	PV685624.1	PV685624	2024-12-05	Europe	France	Réunion		11237	Homo sapiens	East-Central-South-African	2025-06-10	2025-06-10		Frumence et al.	"CHU de la Reunion, Laboratoire de virologie, CNR arbovirus Associe"
PV685625	PV685625.1	PV685625	2024-12-11	Europe	France	Réunion		11237	Homo sapiens	East-Central-South-African	2025-06-10	2025-06-10		Frumence et al.	"CHU de la Reunion, Laboratoire de virologie, CNR arbovirus Associe"
PV685626	PV685626.1	PV685626	2025-02-26	Europe	France	Réunion		11237	Homo sapiens	East-Central-South-African	2025-06-10	2025-06-10		Frumence et al.	"CHU de la Reunion, Laboratoire de virologie, CNR arbovirus Associe"
PV685627	PV685627.1	PV685627	2025-02-08	Europe	France	Réunion		11237	Homo sapiens	East-Central-South-African	2025-06-10	2025-06-10		Frumence et al.	"CHU de la Reunion, Laboratoire de virologie, CNR arbovirus Associe"
PV685628	PV685628.1	PV685628	2025-02-12	Europe	France	Réunion		11237	Homo sapiens	East-Central-South-African	2025-06-10	2025-06-10		Frumence et al.	"CHU de la Reunion, Laboratoire de virologie, CNR arbovirus Associe"
PV685629	PV685629.1	PV685629	2025-01-31	Europe	France	Réunion		11237	Homo sapiens	East-Central-South-African	2025-06-10	2025-06-10		Frumence et al.	"CHU de la Reunion, Laboratoire de virologie, CNR arbovirus Associe"
PV685630	PV685630.1	PV685630	2025-02-03	Europe	France	Réunion		11237	Homo sapiens	East-Central-South-African	2025-06-10	2025-06-10		Frumence et al.	"CHU de la Reunion, Laboratoire de virologie, CNR arbovirus Associe"
PV685631	PV685631.1	PV685631	2025-02-15	Europe	France	Réunion		11237	Homo sapiens	East-Central-South-African	2025-06-10	2025-06-10		Frumence et al.	"CHU de la Reunion, Laboratoire de virologie, CNR arbovirus Associe"
PV685632	PV685632.1	PV685632	2025-02-12	Europe	France	Réunion		11237	Homo sapiens	East-Central-South-African	2025-06-10	2025-06-10		Frumence et al.	"CHU de la Reunion, Laboratoire de virologie, CNR arbovirus Associe"
PV685633	PV685633.1	PV685633	2025-02-19	Europe	France	Réunion		11237	Homo sapiens	East-Central-South-African	2025-06-10	2025-06-10		Frumence et al.	"CHU de la Reunion, Laboratoire de virologie, CNR arbovirus Associe"
PV685634	PV685634.1	PV685634	2025-03-19	Europe	France	Réunion		11237	Homo sapiens	East-Central-South-African	2025-06-10	2025-06-10		Frumence et al.	"CHU de la Reunion, Laboratoire de virologie, CNR arbovirus Associe"
PV685635	PV685635.1	PV685635	2024-11-30	Europe	France	Réunion		11237	Homo sapiens	East-Central-South-African	2025-06-10	2025-06-10		Frumence et al.	"CHU de la Reunion, Laboratoire de virologie, CNR arbovirus Associe"
PV685636	PV685636.1	PV685636	2024-12-12	Europe	France	Réunion		11237	Homo sapiens	East-Central-South-African	2025-06-10	2025-06-10		Frumence et al.	"CHU de la Reunion, Laboratoire de virologie, CNR arbovirus Associe"
PV685637	PV685637.1	PV685637	2024-12-18	Europe	France	Réunion		11237	Homo sapiens	East-Central-South-African	2025-06-10	2025-06-10		Frumence et al.	"CHU de la Reunion, Laboratoire de virologie, CNR arbovirus Associe"
PV685638	PV685638.1	PV685638	2025-01-03	Europe	France	Réunion		11237	Homo sapiens	East-Central-South-African	2025-06-10	2025-06-10		Frumence et al.	"CHU de la Reunion, Laboratoire de virologie, CNR arbovirus Associe"
PV685639	PV685639.1	PV685639	2025-02-24	Europe	France	Réunion		11237	Homo sapiens	East-Central-South-African	2025-06-10	2025-06-10		Frumence et al.	"CHU de la Reunion, Laboratoire de virologie, CNR arbovirus Associe"
PV685640	PV685640.1	PV685640	2025-01-10	Europe	France	Réunion		11237	Homo sapiens	East-Central-South-African	2025-06-10	2025-06-10		Frumence et al.	"CHU de la Reunion, Laboratoire de virologie, CNR arbovirus Associe"
PV685641	PV685641.1	PV685641	2024-12-18	Europe	France	Réunion		11237	Homo sapiens	East-Central-South-African	2025-06-10	2025-06-10		Frumence et al.	"CHU de la Reunion, Laboratoire de virologie, CNR arbovirus Associe"
PV685642	PV685642.1	PV685642	2025-01-08	Europe	France	Réunion		11237	Homo sapiens	East-Central-South-African	2025-06-10	2025-06-10		Frumence et al.	"CHU de la Reunion, Laboratoire de virologie, CNR arbovirus Associe"
PV685643	PV685643.1	PV685643	2024-12-13	Europe	France	Réunion		11237	Homo sapiens	East-Central-South-African	2025-06-10	2025-06-10		Frumence et al.	"CHU de la Reunion, Laboratoire de virologie, CNR arbovirus Associe"
PV685644	PV685644.1	PV685644	2025-01-15	Europe	France	Réunion		11237	Homo sapiens	East-Central-South-African	2025-06-10	2025-06-10		Frumence et al.	"CHU de la Reunion, Laboratoire de virologie, CNR arbovirus Associe"
PV685645	PV685645.1	PV685645	2025-03-08	Europe	France	Réunion		11237	Homo sapiens	East-Central-South-African	2025-06-10	2025-06-10		Frumence et al.	"CHU de la Reunion, Laboratoire de virologie, CNR arbovirus Associe"
PV685646	PV685646.1	PV685646	2025-03-18	Europe	France	Réunion		11237	Homo sapiens	East-Central-South-African	2025-06-10	2025-06-10		Frumence et al.	"CHU de la Reunion, Laboratoire de virologie, CNR arbovirus Associe"
PV685647	PV685647.1	PV685647	2025-02-04	Europe	France	Réunion		11237	Homo sapiens	East-Central-South-African	2025-06-10	2025-06-10		Frumence et al.	"CHU de la Reunion, Laboratoire de virologie, CNR arbovirus Associe"
PV685648	PV685648.1	PV685648	2025-02-13	Europe	France	Réunion		11237	Homo sapiens	East-Central-South-African	2025-06-10	2025-06-10		Frumence et al.	"CHU de la Reunion, Laboratoire de virologie, CNR arbovirus Associe"
PV685649	PV685649.1	PV685649	2024-12-28	Europe	France	Réunion		11237	Homo sapiens	East-Central-South-African	2025-06-10	2025-06-10		Frumence et al.	"CHU de la Reunion, Laboratoire de virologie, CNR arbovirus Associe"
PV685650	PV685650.1	PV685650	2025-01-08	Europe	France	Réunion		11237	Homo sapiens	East-Central-South-African	2025-06-10	2025-06-10		Frumence et al.	"CHU de la Reunion, Laboratoire de virologie, CNR arbovirus Associe"
PV685651	PV685651.1	PV685651	2024-12-07	Europe	France	Réunion		11237	Homo sapiens	East-Central-South-African	2025-06-10	2025-06-10		Frumence et al.	"CHU de la Reunion, Laboratoire de virologie, CNR arbovirus Associe"
PV685652	PV685652.1	PV685652	2025-01-21	Europe	France	Réunion		11237	Homo sapiens	East-Central-South-African	2025-06-10	2025-06-10		Frumence et al.	"CHU de la Reunion, Laboratoire de virologie, CNR arbovirus Associe"
PV685653	PV685653.1	PV685653	2025-02-18	Europe	France	Réunion		11237	Homo sapiens	East-Central-South-African	2025-06-10	2025-06-10		Frumence et al.	"CHU de la Reunion, Laboratoire de virologie, CNR arbovirus Associe"
MG967666	MG967666.1	MG967666	2014-06-XX	North America	Haiti			12230	Homo sapiens	Asian and Caribbean	2018-09-12	2018-09-12		White et al.	"University of Florida - Gainesville, Environmental and Global Health"
MH000700	MH000700.1	MH000700	2016-02-04	South America	Brazil	Recife-Pe		11339	Homo sapiens	East-Central-South-African	2020-03-01	2020-03-01		Pena et al.	"Fundacao Oswaldo Cruz - Centro de Pesquisas Aggeu Magalhaes, Departamento de Entomologia"
MH000701	MH000701.1	MH000701	2016-02-22	South America	Brazil	Recife-Pe		11361	Homo sapiens	East-Central-South-African	2020-03-01	2020-03-01		Pena et al.	"Fundacao Oswaldo Cruz - Centro de Pesquisas Aggeu Magalhaes, Departamento de Entomologia"
MH000702	MH000702.1	MH000702	2016-02-15	South America	Brazil	Caruaru-Pe		11455	Homo sapiens	East-Central-South-African	2020-03-01	2020-03-01		Pena et al.	"Fundacao Oswaldo Cruz - Centro de Pesquisas Aggeu Magalhaes, Departamento de Entomologia"
MH000703	MH000703.1	MH000703	2016-02-15	South America	Brazil	Recife-Pe		11362	Homo sapiens	East-Central-South-African	2020-03-01	2020-03-01		Pena et al.	"Fundacao Oswaldo Cruz - Centro de Pesquisas Aggeu Magalhaes, Departamento de Entomologia"
MH000704	MH000704.1	MH000704	2016-02-19	South America	Brazil			11362	Homo sapiens	East-Central-South-African	2020-03-01	2020-03-01		Pena et al.	"Fundacao Oswaldo Cruz - Centro de Pesquisas Aggeu Magalhaes, Departamento de Entomologia"
MH000705	MH000705.1	MH000705	2016-02-25	South America	Brazil	Recife-Pe		11362	Homo sapiens	East-Central-South-African	2020-03-01	2020-03-01		Pena et al.	"Fundacao Oswaldo Cruz - Centro de Pesquisas Aggeu Magalhaes, Departamento de Entomologia"
MH000706	MH000706.1	MH000706	2016-02-18	South America	Brazil	Recife-Pe		11301	Homo sapiens	East-Central-South-African	2020-03-01	2020-03-01		Pena et al.	"Fundacao Oswaldo Cruz - Centro de Pesquisas Aggeu Magalhaes, Departamento de Entomologia"
MH124570	MH124570.2	MH124570	2010-XX-XX	Asia	India			11811	Homo sapiens	East-Central-South-African	2019-12-31	2025-04-24		Jain et al.	"International Centre for Genetic Engineering and Biotechnology, Vector Borne Diseases"
MH124571	MH124571.1	MH124571	2010-XX-XX	Asia	India			11764	Homo sapiens	East-Central-South-African	2019-12-31	2019-12-31		Jain et al.	"International Centre for Genetic Engineering and Biotechnology, Vector Borne Diseases"
MH124572	MH124572.1	MH124572	2010-XX-XX	Asia	India			11764	Homo sapiens	East-Central-South-African	2019-12-31	2019-12-31		Jain et al.	"International Centre for Genetic Engineering and Biotechnology, Vector Borne Diseases"
MH124573	MH124573.1	MH124573	2010-XX-XX	Asia	India			11750	Homo sapiens	East-Central-South-African	2019-12-31	2019-12-31		Jain et al.	"International Centre for Genetic Engineering and Biotechnology, Vector Borne Diseases"
MH124574	MH124574.1	MH124574	2010-XX-XX	Asia	India			11755	Homo sapiens	East-Central-South-African	2019-12-31	2019-12-31		Jain et al.	"International Centre for Genetic Engineering and Biotechnology, Vector Borne Diseases"
MH124575	MH124575.1	MH124575	2010-XX-XX	Asia	India			11763	Homo sapiens	East-Central-South-African	2019-12-31	2019-12-31		Jain et al.	"International Centre for Genetic Engineering and Biotechnology, Vector Borne Diseases"
MH124576	MH124576.1	MH124576	2010-XX-XX	Asia	India			11746	Homo sapiens	East-Central-South-African	2019-12-31	2019-12-31		Jain et al.	"International Centre for Genetic Engineering and Biotechnology, Vector Borne Diseases"
MH124577	MH124577.1	MH124577	2010-XX-XX	Asia	India			11764	Homo sapiens	East-Central-South-African	2019-12-31	2019-12-31		Jain et al.	"International Centre for Genetic Engineering and Biotechnology, Vector Borne Diseases"
MH124578	MH124578.1	MH124578	2010-XX-XX	Asia	India			11758	Homo sapiens	East-Central-South-African	2019-12-31	2019-12-31		Jain et al.	"International Centre for Genetic Engineering and Biotechnology, Vector Borne Diseases"
MH124579	MH124579.1	MH124579	2010-XX-XX	Asia	India			11752	Homo sapiens	East-Central-South-African	2019-12-31	2019-12-31		Jain et al.	"International Centre for Genetic Engineering and Biotechnology, Vector Borne Diseases"
MH124580	MH124580.1	MH124580	2016-XX-XX	Asia	India			11762	Homo sapiens	East-Central-South-African	2019-12-31	2019-12-31		Jain et al.	"International Centre for Genetic Engineering and Biotechnology, Vector Borne Diseases"
MH124581	MH124581.1	MH124581	2016-XX-XX	Asia	India			11757	Homo sapiens	East-Central-South-African	2019-12-31	2019-12-31		Jain et al.	"International Centre for Genetic Engineering and Biotechnology, Vector Borne Diseases"
MH124582	MH124582.1	MH124582	2016-XX-XX	Asia	India			11756	Homo sapiens	East-Central-South-African	2019-12-31	2019-12-31		Jain et al.	"International Centre for Genetic Engineering and Biotechnology, Vector Borne Diseases"
MH124583	MH124583.1	MH124583	2016-XX-XX	Asia	India			11746	Homo sapiens	East-Central-South-African	2019-12-31	2019-12-31		Jain et al.	"International Centre for Genetic Engineering and Biotechnology, Vector Borne Diseases"
PV685654	PV685654.1	PV685654	2025-02-08	Europe	France	Réunion		11237	Homo sapiens	East-Central-South-African	2025-06-10	2025-06-10		Frumence et al.	"CHU de la Reunion, Laboratoire de virologie, CNR arbovirus Associe"
PV685655	PV685655.1	PV685655	2025-01-20	Europe	France	Réunion		11237	Homo sapiens	East-Central-South-African	2025-06-10	2025-06-10		Frumence et al.	"CHU de la Reunion, Laboratoire de virologie, CNR arbovirus Associe"
PV685656	PV685656.1	PV685656	2025-02-25	Europe	France	Réunion		11237	Homo sapiens	East-Central-South-African	2025-06-10	2025-06-10		Frumence et al.	"CHU de la Reunion, Laboratoire de virologie, CNR arbovirus Associe"
PV685657	PV685657.1	PV685657	2025-01-30	Europe	France	Réunion		11237	Homo sapiens	East-Central-South-African	2025-06-10	2025-06-10		Frumence et al.	"CHU de la Reunion, Laboratoire de virologie, CNR arbovirus Associe"
PV685658	PV685658.1	PV685658	2025-03-13	Europe	France	Réunion		11237	Homo sapiens	East-Central-South-African	2025-06-10	2025-06-10		Frumence et al.	"CHU de la Reunion, Laboratoire de virologie, CNR arbovirus Associe"
PV685659	PV685659.1	PV685659	2025-01-06	Europe	France	Réunion		11237	Homo sapiens	East-Central-South-African	2025-06-10	2025-06-10		Frumence et al.	"CHU de la Reunion, Laboratoire de virologie, CNR arbovirus Associe"
PV685660	PV685660.1	PV685660	2024-12-27	Europe	France	Réunion		11237	Homo sapiens	East-Central-South-African	2025-06-10	2025-06-10		Frumence et al.	"CHU de la Reunion, Laboratoire de virologie, CNR arbovirus Associe"
PV685661	PV685661.1	PV685661	2025-02-08	Europe	France	Réunion		11237	Homo sapiens	East-Central-South-African	2025-06-10	2025-06-10		Frumence et al.	"CHU de la Reunion, Laboratoire de virologie, CNR arbovirus Associe"
PV685662	PV685662.1	PV685662	2025-03-20	Europe	France	Réunion		11237	Homo sapiens	East-Central-South-African	2025-06-10	2025-06-10		Frumence et al.	"CHU de la Reunion, Laboratoire de virologie, CNR arbovirus Associe"
PV685663	PV685663.1	PV685663	2025-03-15	Europe	France	Réunion		11237	Homo sapiens	East-Central-South-African	2025-06-10	2025-06-10		Frumence et al.	"CHU de la Reunion, Laboratoire de virologie, CNR arbovirus Associe"
PV685664	PV685664.1	PV685664	2025-03-05	Europe	France	Réunion		11237	Homo sapiens	East-Central-South-African	2025-06-10	2025-06-10		Frumence et al.	"CHU de la Reunion, Laboratoire de virologie, CNR arbovirus Associe"
PV685665	PV685665.1	PV685665	2025-03-15	Europe	France	Réunion		11237	Homo sapiens	East-Central-South-African	2025-06-10	2025-06-10		Frumence et al.	"CHU de la Reunion, Laboratoire de virologie, CNR arbovirus Associe"
PV685666	PV685666.1	PV685666	2025-03-13	Europe	France	Réunion		11237	Homo sapiens	East-Central-South-African	2025-06-10	2025-06-10		Frumence et al.	"CHU de la Reunion, Laboratoire de virologie, CNR arbovirus Associe"
PV685667	PV685667.1	PV685667	2025-02-10	Europe	France	Réunion		11237	Homo sapiens	East-Central-South-African	2025-06-10	2025-06-10		Frumence et al.	"CHU de la Reunion, Laboratoire de virologie, CNR arbovirus Associe"
